"artist","firstName","gender","itemInSession","lastName","length","level","location","sessionId","song","userId"
"Sydney Youngblood","Jacob","M","53","Klein","238.07955","paid","Tampa-St. Petersburg-Clearwater, FL","954","Ain't No Sunshine","73"
"Gang Starr","Layla","F","88","Griffin","151.92771","paid","Lake Havasu City-Kingman, AZ","984","My Advice 2 You (Explicit)","24"
"3OH!3","Layla","F","89","Griffin","192.522","paid","Lake Havasu City-Kingman, AZ","984","My First Kiss (Feat. Ke$ha) [Album Version]","24"
"RÃÂ¶yksopp","Jacob","M","54","Klein","369.81506","paid","Tampa-St. Petersburg-Clearwater, FL","954","The Girl and The Robot","73"
"Kajagoogoo","Layla","F","90","Griffin","223.55546","paid","Lake Havasu City-Kingman, AZ","984","Too Shy","24"
"The Jimmy Castor Bunch","Layla","F","91","Griffin","306.54649","paid","Lake Havasu City-Kingman, AZ","984","Potential","24"
"Ministry","Jacob","M","55","Klein","186.69669","paid","Tampa-St. Petersburg-Clearwater, FL","954","The Great Satan (What Would Satan Do Mix)","73"
"Bouncing Souls","Jacob","M","56","Klein","117.31546","paid","Tampa-St. Petersburg-Clearwater, FL","954","The Screamer","73"
"Tegan And Sara","Layla","F","92","Griffin","129.67138","paid","Lake Havasu City-Kingman, AZ","984","Knife Going In (Album Version)","24"
"Silverchair","Layla","F","93","Griffin","242.96444","paid","Lake Havasu City-Kingman, AZ","984","The Greatest View (Album Version)","24"
"Enigma","Layla","F","94","Griffin","242.78159","paid","Lake Havasu City-Kingman, AZ","984","T.N.T. For The Brain (112 Bpm) (Radio Edit)","24"
"Anis","Layla","F","95","Griffin","278.12526","paid","Lake Havasu City-Kingman, AZ","984","Mon MÃÂ©tro","24"
"Seal","Layla","F","96","Griffin","254.06649","paid","Lake Havasu City-Kingman, AZ","984","Fly Like An Eagle","24"
"UNKLE Feat. Josh Homme","Layla","F","97","Griffin","307.19955","paid","Lake Havasu City-Kingman, AZ","984","Restless","24"
"Dwight Yoakam","Layla","F","98","Griffin","239.3073","paid","Lake Havasu City-Kingman, AZ","984","You're The One","24"
"Elastica","Layla","F","99","Griffin","141.92281","paid","Lake Havasu City-Kingman, AZ","984","Blue","24"
"Capone-N-Noreaga","Layla","F","100","Griffin","194.82077","paid","Lake Havasu City-Kingman, AZ","984","Channel 10","24"
"Morris Day","Layla","F","101","Griffin","442.46159","paid","Lake Havasu City-Kingman, AZ","984","The Oak Tree (Album Version)","24"
"Foo Fighters","Layla","F","102","Griffin","302.91546","paid","Lake Havasu City-Kingman, AZ","984","What If I Do?","24"
"Olive","Layla","F","103","Griffin","264.12363","paid","Lake Havasu City-Kingman, AZ","984","You're Not Alone","24"
"Olle Adolphson","Layla","F","104","Griffin","202.39628","paid","Lake Havasu City-Kingman, AZ","984","En Glad Calypso Om VÃÂ¥ren (Live '62)","24"
"Streetlight Manifesto","Ava","F","0","Robinson","303.33342","free","New Haven-Milford, CT","1011","Down_ Down_ Down To Mehphisto's Cafe (Album Version)","50"
"Frank Reyes","Layla","F","105","Griffin","239.67302","paid","Lake Havasu City-Kingman, AZ","984","Tu Eres Ajena","24"
"Andres Calamaro","Layla","F","106","Griffin","217.5473","paid","Lake Havasu City-Kingman, AZ","984","Estadio Azteca","24"
"Zero 7","Layla","F","107","Griffin","279.562","paid","Lake Havasu City-Kingman, AZ","984","Sleeper","24"
"Mark Ronson featuring Tiggers","Layla","F","108","Griffin","245.18485","paid","Lake Havasu City-Kingman, AZ","984","Toxic","24"
"Keith Sweat","Layla","F","109","Griffin","295.78404","paid","Lake Havasu City-Kingman, AZ","984","Merry Go Round (Remastered Single Version)","24"
"Wakey!Wakey!","Layla","F","110","Griffin","145.03138","paid","Lake Havasu City-Kingman, AZ","984","Square Peg Round Hole","24"
"The Mercury Program","Layla","F","111","Griffin","292.362","paid","Lake Havasu City-Kingman, AZ","984","Eqypt","24"
"Kid Cudi / Kanye West / Common","Layla","F","112","Griffin","237.76608","paid","Lake Havasu City-Kingman, AZ","984","Make Her Say","24"
"Nekromantix","Layla","F","113","Griffin","263.10485","paid","Lake Havasu City-Kingman, AZ","984","Nice Day For A Resurrection","24"
"J. Karjalainen & Mustat Lasit","Layla","F","115","Griffin","336.74404","paid","Lake Havasu City-Kingman, AZ","984","Sinisten tÃÂ¤htien alla","24"
"Matt Wertz","Layla","F","116","Griffin","171.17995","paid","Lake Havasu City-Kingman, AZ","984","Wade Through The Night","24"
"Insane Clown Posse","Layla","F","117","Griffin","233.82159","paid","Lake Havasu City-Kingman, AZ","984","My Axe","24"
"Thin Lizzy","Kaleb","M","0","Cook","214.59546","free","Yuba City, CA","951","It's Only Money","54"
"Crystal Castles","Kaleb","M","1","Cook","186.38322","free","Yuba City, CA","951","Untrust us","54"
"The Prodigy","Kaleb","M","2","Cook","302.602","free","Yuba City, CA","951","Full Throttle","54"
"Kid Cudi / Kanye West / Common","Kaleb","M","3","Cook","237.76608","free","Yuba City, CA","951","Make Her Say","54"
"Kim Carnes","Kaleb","M","4","Cook","217.28608","free","Yuba City, CA","951","Crazy In The Night (Barking At Airplanes)","54"
"The Velvet Underground","Lily","F","0","Burns","165.95546","free","New York-Newark-Jersey City, NY-NJ-PA","1045","White Light/White Heat","32"
"Katie Melua","Lily","F","1","Burns","218.09587","free","New York-Newark-Jersey City, NY-NJ-PA","1045","I Cried For You","32"
"Cedell Davis","Alivia","F","0","Terrell","178.36363","free","Parkersburg-Vienna, WV","587","Chicken Hawk","4"
"Frou Frou","Theodore","M","1","Smith","277.34159","free","Houston-The Woodlands-Sugar Land, TX","990","Breathe In","52"
"Justin Timberlake","Theodore","M","2","Smith","313.0771","free","Houston-The Woodlands-Sugar Land, TX","990","What Goes Around...Comes Around","52"
"Michael BublÃÂ©","Theodore","M","0","Harris","253.88363","free","Red Bluff, CA","1038","Moondance (Album Version)","14"
"Bill Withers","Theodore","M","1","Harris","383.73832","free","Red Bluff, CA","1038","Make Love To Your Mind","14"
"Cut Copy","Jordyn","F","0","Powell","267.54567","free","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","865","Feel The Love","98"
